record_id,redcap_survey_identifier,ladenburg_statements_timestamp,s01_statement,s01_comment,s02_statement,s02_comment,s03_statement,s03_comment,s04_statement,s04_comment,s05_statement,s05_comment,s06_statement,s06_comment,s07_statement,s07_comment,s08_statement,s08_comment,s09_statement,s09_comment,s10_statement,s10_comment,s11_statement,s11_comment,s12_statement,s12_comment,s13_statement,s13_comment,s14_statement,s14_comment,s15_statement,s15_comment,s16_statement,s16_comment,s17_statement,s17_comment,s18_statement,s18_comment,s19_statement,s19_comment,s20_statement,s20_comment,s21_statement,s21_comment,s22_statement,s22_comment,s23_statement,s23_comment,s24_statement,s24_comment,s25_statement,s25_comment,s26_statement,s26_comment,s27_statement,s27_comment,s28_statement,s28_comment,open_ended,ladenburg_statements_complete
1,,"2024-10-07 16:44:43",1,,1,"for some photobiological effects there may be some largely unrecognized effect from near ultraviolet reaching the retina - even though it is normally less than 1% except in small children.",1,,1,"Although this is correct, this is a very general statement; but in terms of non-visual - as well as visual - effects, it depends on the light actually reaching the retina",1,"This is correct, but it would be nice to add that the spectrum changes with solar angle (time of day and season), with the greatest change in the short-wavelength end of the terrestrial solar spectrum.",1,"one could add: '...with LEDs having the greatest range of different spectra'",1,"Agree, but it would be better here and earlier to replace 'intensity' by 'irradiance'  since radiant intensity has units of W/sr - and useful for point/small sources such as auto headlights.",1,,1,,1,"please add '...and play a key role in movement detection and alerting.' ",1,,1,"'Predominantly' is the key word in this statement.",1,,1,,1,,1,,1,,1,"I agree with the statement based upon current cucumstantial evidence and current knowledge, but I am unaware of retinal electrophysiological evidence to support this, and it may not be always true.  It would be nice to have studies on individuals who appear to lack normal ipRGC response.",0,"I typed in 'disagree' only because of the complexity of measuring 'mood.'  It would be best to exclude this statement or water this down - at least changing 'can' to 'may even'",1,,1,,0,"To the best of my knowledge, this is not the weight of current evicence.",1,,1,"Agree partially, since it may also result from loss of retinal cells with age. The aged retina may have half as many cones as in youth - as one example.",1,,1,"This is certainly true of the majority of good studies!",1,,1,,"One challenge is the existence of commercial influence and commercial 'hype.'",2
2,,"2024-10-08 01:30:05",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"Would perhaps specify 'external signal' ",1,,1,"perhaps consider adding biological morning and biological evening (to account for those who may be very misaligned, e.g., shiftwork)",1,,1,"Could have more specificity - e.g., what determined the magnitude of these physiological responses. And perhaps what 'primarily' determines - there is also substantial inter-individual variability in the response to the same 'amount' of light. ",1,,1,,0,"I would say 'may' improve sleep quality the following night. Sleep quality could be more specifically defined. ",1,,0,"I would say 'may' reduce the physiological effects of light in the evening and at night.",1,,1,,1,,1,,1,,1,,,2
3,,"2024-10-08 02:13:51",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,"There are also likely other important age-related effects aside from simply ageing of the eye. Some studies also point to independence of ipRGC-driven pupil responses from ageing effects suggesting this may not necessarily be true",1,,1,,1,,1,,,2
4,,"2024-10-08 09:38:21",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
5,,"2024-10-08 11:46:26",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
6,,"2024-10-10 13:04:29",1,,1,,1,,1,,1,,1,,1,,1,,1,"I agree, but would not necessarily say it requires 'bright' lighting conditions.",1,,1,,1,,1,,1,,1,,1,,1,,0,"Effects on the biological clock and melatonin are well-established. Effects on sleep are often small, but can of course occur. Also, there is quite some interindividual variability.",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
7,,"2024-10-14 22:18:25",1,"For children to young adults wavelengths below 380 may be involved",1,"For children to young adults wavelengths below 380 may be involved",1,,1,"For children to young adults wavelengths below 380 may be involved",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
8,,"2024-10-17 13:15:29",1,,1,,1,,1,,1,,1,,1,,1,,1,"I would replace 'bright lighting conditions' with 'high lighting levels'. Brightness is a perception. A dim light can be bright if you are dark adapted.",1,,1,,1,,1,,1,,1,,1,,0,"Prior light exposure is important.",1,,1,"This is dependent on the spectral composition of light and prior light exposure. ",1,,1,,1,,1,,0,"The effects of aging on non-visual responses is understudied and the effects of ocular media opacities are still not well understood. ",1,,0,,1,,1,,,2
9,,"2024-10-17 14:49:10",1,,1,"Same as first statement?",1,"Yes, but there are more aspects relevant (e.g. personal characteristics)",0,"It should be weighted by wavelength rather than just summed up.",1,,1,,1,,1,,0,"Rods are responsible to detect motion. Spatial detail is also fairly limited spatially due to the small coverage of cones on the retina.",1,,1,,1,,1,,1,,1,,1,,1,"although it's not just 'how much light' but also what type of spectrum of light",1,,1,,1,,1,,0,"I'm not sure if we can somehow compensate for using bright light in the evening by getting exposed to bright light during the day.. ",1,,1,,1,,1,"Well, the fundamental studies, yes. The most effects are probably also found in the lab when there is less noise in the data and fewer variables that influence the study.",1,"Yes, certainly!",1,,,2
10,,"2024-10-17 18:46:25",1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
11,,"2024-10-18 12:10:26",1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,"only true under normal, commonly used light conditions, need not be true in aberrant light conditions",1,,1,,1,,1,,0,"the preceding light history is also relevant in  determining physiological responses, not just the current light, perhaps reconsider the use of  'primarily', I would prefer using something like ' in many cases'",1,,1,,1,,1,,1,,1,,1,"non-experts may interpret the statement as saying that the influence of age is only due to less light reaching the retina, also age related changes in behaviour and brain functions and neural processing are likely to play a role",1,"age and light history are important factors contributing to these (inter)individual differences",1,,1,,1,,"it is very useful to start phrasing consensus and call for action, although we certainly do not understand all aspects yet, enough is known to articulate and start adopting well-established insights",2
12,,"2024-10-18 20:11:15",1,,1,,1,,1,,1,"Daylight has also energy with wavelength below 380 and above 780 nm",1,,1,,1,,1,"what are bright lighting conditions? Above ... lux?",1,"what are dim light conditions? below ... lux",1,"... beyond vision, what is the main role of the rods and cones.",1,,1,,1,,1,,1,,1,,1,"... does it also have influence on the effectiveness of the sleep? With higher light levels in teh evebning, you still can fall asleep fast, but the effectivenss of the sleep can be lower.",1,,1,,1,,1,,1,"the right light at the right time, bright during the day, dim during the evening, dark during the night",1,,1,,,"I can't tell",,"AND including the socio-economic effects of light; what does it bring in €",1,,"1. Studies should also concentrate on the socio-economic benefits of the right light at the right time  2. Any statements on the longer term effects as the lack of daylight or sufficient electric light can have on chronical diseases. Taken from: 'the relevance of daylight for humans by AnnA WJ, Debra S, M Münch,  3. Any statement that daylight is always good, humans are made for daylight.  4. A statements that electric light should compensate for the lack of daylight?  THANKS A LOT FOR THE EXCELLENT WORK!!  ",2
13,,"2024-10-21 20:40:09",1,"This wavelength range may not include all health effects of optical radiation as transmitted through the eye.",1,,1,,0,"It's an inappropriate simplification because spectral and spatial features are critical.",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
14,,"2024-10-25 13:45:19",1,,1,,1,,0,"Not sufficiently described",1,,1,,1,,1,,1,"Maybe better phrased: support our ability to detect",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,"I am uncertain as to strength of evidence on this point",1,,1,,1,,0,"I agree there is an age effect but the origin is not fully understood, likely multifaceted",1,,1,,1,,1,,,2
15,,"2024-10-25 16:24:12",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"This may be only the case for some people with seasonal depression",0,"There is a correlation but causation not well supported",1,,0,"I think this is likely true, but a broader evidence base required ",1,,0,"Im not aware of the longitudinal (within subjects) data required to definitively show this.",1,,1,,1,,1,,,2
16,,"2024-10-25 22:04:30",1,"On the basis of the CIE definition, this statement can be agreed. However, it should also be noted that most people perceive wavelengths between approximately 400 nanometres (nm) and 780 nm. The wavelength range between 380 nm and 400 nm is an overlap that cannot be perceived equally by all people. This overlap can also be attributed to the UVA portion (320 nm to 400 nm) due to its effect. For example, the erythema curve (range 280 nm to 400 nm) can be quoted here.",1,"On the basis of the CIE definition, this statement can be agreed. However, it should also be noted that most people perceive wavelengths between approximately 400 nanometres (nm) and 780 nm. The wavelength range between 380 nm and 400 nm is an overlap that cannot be perceived equally by all people. This overlap can also be attributed to the UVA portion (320 nm to 400 nm) due to its effect. For example, the erythema curve (range 280 nm to 400 nm) can be quoted here.",1,,1,,1,"In my opinion, however, it would also be good to put this in relation to the other two wavelength ranges, UV radiation and infrared radiation. This would allow a better classification in the entire spectrum of optical radiation and a sharper definition of daylight. ",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
17,,"2024-10-28 10:52:36",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"I would rather phrase this as 'Light is the strongest signal ...'",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,2
18,,"2024-10-28 16:37:44",1,"the wavelength range is indicative, not definitive.",1,"this repeats the first question",1,,0,"It is necessary to weight the intensity according to a relevant spectral function - the total amount of energy can be misleading",1,,1,,1,,0,"Not all differ, 'with several types that differ...'",1,,1,,1,,1,,1,,1,,1,"Perhaps this statement is only true in the context of normal day-active variations of phase relative to the [social] clock that determines the definition of morning and evening.",,,1,"In the context of long duration exposures.",1,,,,1,,1,,0,"There is mixed evidence, notably Burns et al UK Biobank study did not identify an interaction between daytime light group and nightitime light group",1,,1,"However, it may be important to consider the effects of retinal condition, not just the light falling on it.",1,,,,1,"This should help inform interventions to reduce health inequalities",1,,,2
19,,"2024-10-29 20:04:58",1,,1,"More precisely, this is the range of the human eye's sensitivity to light for vision",1,,1,,1,,1,,1,,1,,1,,1,,1,,1,"Other photoreceptors are still involved.  Suppression implies completed reduction versus reduction in melatonin levels which can be partial to complete.",1,,1,,1,,1,,1,,1,,1,,1,"Findings of better subjective sleep quality in some studies",1,,1,,1,,1,,1,,1,,1,,1,,,2
